,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
244,R-20210510-00050,S-210510-01078,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1844,TBD
245,R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1845,TBD
246,R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation Severity,<3.00,EXP-21-AX1845,TBD
247,R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AX1845,TBD
248,R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1845,TBD
249,R-20210510-00053,S-210511-00682,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1845,TBD
250,R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation,Y,MV-15990-139,
251,R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation Location,Middle/Bottom,MV-15990-139,
252,R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separated Layers,2,MV-15990-139,
253,R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation Severity,23.30,MV-15990-139,
254,R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Onset of Major Separation,85,MV-15990-139,
255,R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-080,
256,R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation Severity,1.50,RC17109-080,
257,R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Onset of Major Separation,90,RC17109-080,
258,R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-080,
259,R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-080,
260,R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Onset of Major Separation,235,F-210503-00019,200000255660/000/000
261,R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation Location,Top,F-210503-00019,200000255660/000/000
262,R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210503-00019,200000255660/000/000
263,R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation Severity,1.27,F-210503-00019,200000255660/000/000
264,R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation,Y,F-210503-00019,200000255660/000/000
265,R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-081,
266,R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separated Layers,3,RC17109-081,
267,R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,RC17109-081,
268,R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,RC17109-081,
269,R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation Severity,43.10,RC17109-081,
270,R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,RC17109-082,
271,R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separated Layers,3,RC17109-082,
272,R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-082,
273,R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,RC17109-082,
274,R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation Severity,54.10,RC17109-082,
275,R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-083,
276,R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-083,
277,R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Onset of Major Separation,75,RC17109-083,
278,R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation Severity,0.90,RC17109-083,
279,R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-083,
280,R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-084,
281,R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Onset of Major Separation,140,RC17109-084,
282,R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation Severity,1.10,RC17109-084,
283,R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-084,
284,R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-084,
285,R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BI0132,
286,R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0132,
287,R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Onset of Major Separation,85,EXP-21-BI0132,
288,R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BI0132,
289,R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation Severity,3.50,EXP-21-BI0132,
290,R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-085,
291,R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-085,
292,R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-085,
293,R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Severity,1.76,RC17109-085,
294,R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Onset of Major Separation,185,RC17109-085,
295,R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Severity,9.05,RC17109-086,
296,R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Onset of Major Separation,215,RC17109-086,
297,R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-086,
298,R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separated Layers,3,RC17109-086,
299,R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,RC17109-086,
300,R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-BI0136,
301,R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Onset of Major Separation,100,EXP-21-BI0136,
302,R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Severity,5.02,EXP-21-BI0136,
303,R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0136,
304,R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,EXP-21-BI0136,
305,R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-141,
306,R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-141,
307,R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-141,
308,R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-141,
309,R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-141,
310,R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BG4329,na
311,R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Severity,10.40,EXP-21-BG4329,na
312,R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Onset of Major Separation,50,EXP-21-BG4329,na
313,R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BG4329,na
314,R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Location,Bottom,EXP-21-BG4329,na
315,R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BG4329,na
316,R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Onset of Major Separation,115,EXP-21-BG4329,na
317,R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BG4329,na
318,R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BG4329,na
319,R-20210525-00048,S-210525-00772,,Lumisizer - VM,Lumisizer Separation Severity,2.10,EXP-21-BG4329,na
320,R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1849,TBD
321,R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation Severity,2.10,EXP-21-AX1849,TBD
322,R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1849,TBD
323,R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Onset of Major Separation,230,EXP-21-AX1849,TBD
324,R-20210526-00053,S-210526-01044,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1849,TBD
325,R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Onset of Major Separation,10,EXP-21-BI0143,
326,R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0143,
327,R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-BI0143,
328,R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-BI0143,
329,R-20210601-00031,S-210601-00565,,Lumisizer - VM,Lumisizer Separation Severity,30.00,EXP-21-BI0143,
330,R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation Severity,32.00,EXP-21-BI0144,
331,R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-BI0144,
332,R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separated Layers,4,EXP-21-BI0144,
333,R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0144,
334,R-20210601-00032,S-210601-00597,,Lumisizer - VM,Lumisizer Onset of Major Separation,5,EXP-21-BI0144,
335,R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0145,
336,R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-BI0145,
337,R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BI0145,
338,R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BI0145,
339,R-20210602-00059,S-210602-01946,,Lumisizer - VM,Lumisizer Separation Severity,4.70,EXP-21-BI0145,
340,R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-BI0146,
341,R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation Severity,2.70,EXP-21-BI0146,
342,R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,EXP-21-BI0146,
343,R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0146,
344,R-20210602-00060,S-210602-01978,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-BI0146,
345,R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle,F-210514-00041,200000256062/000/001
346,R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation Severity,12.20,F-210514-00041,200000256062/000/001
347,R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Onset of Major Separation,10,F-210514-00041,200000256062/000/001
348,R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separated Layers,4,F-210514-00041,200000256062/000/001
349,R-20210602-00077,S-210602-02421,,Lumisizer - VM,Lumisizer Separation,Y,F-210514-00041,200000256062/000/001
350,R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Onset of Major Separation,40,EXP-21-AX1851,TBD
351,R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1851,TBD
352,R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1851,TBD
353,R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle,EXP-21-AX1851,TBD
354,R-20210603-00058,S-210603-00852,,Lumisizer - VM,Lumisizer Separation Severity,12.60,EXP-21-AX1851,TBD
355,R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation,N,RC17109-087,
356,R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separated Layers,,RC17109-087,
357,R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation Location,,RC17109-087,
358,R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Onset of Major Separation,,RC17109-087,
359,R-20210604-00050,S-210604-00899,,Lumisizer - VM,Lumisizer Separation Severity,,RC17109-087,
360,R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separated Layers,,RC17109-088,
361,R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation Severity,,RC17109-088,
362,R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Onset of Major Separation,,RC17109-088,
363,R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation Location,,RC17109-088,
364,R-20210604-00051,S-210604-00945,,Lumisizer - VM,Lumisizer Separation,N,RC17109-088,
365,R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separated Layers,1,RC17109-089,
366,R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Onset of Major Separation,,RC17109-089,
367,R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation Location,,RC17109-089,
368,R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation,N,RC17109-089,
369,R-20210604-00052,S-210604-00992,,Lumisizer - VM,Lumisizer Separation Severity,,RC17109-089,
370,R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation Location,Bottom,F-210601-00036,na
371,R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separated Layers,3,F-210601-00036,na
372,R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation Severity,9.35,F-210601-00036,na
373,R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Onset of Major Separation,100,F-210601-00036,na
374,R-20210610-00079,S-210610-00942,,Lumisizer - VM,Lumisizer Separation,Y,F-210601-00036,na
375,R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation Location,Bottom,F-210601-00036,na
376,R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation,Y,F-210601-00036,na
377,R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Onset of Major Separation,220,F-210601-00036,na
378,R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separated Layers,3,F-210601-00036,na
379,R-20210610-00080,S-210610-00973,,Lumisizer - VM,Lumisizer Separation Severity,8.93,F-210601-00036,na
380,R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Onset of Major Separation,185,EXP-21-AY9494,
381,R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation Severity,1.98,EXP-21-AY9494,
382,R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AY9494,
383,R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AY9494,
384,R-20210611-00035,S-210611-02511,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AY9494,
385,R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separated Layers,1,RC17109-092,
386,R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation Location,,RC17109-092,
387,R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation,N,RC17109-092,
388,R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Onset of Major Separation,,RC17109-092,
389,R-20210611-00036,S-210611-02570,,Lumisizer - VM,Lumisizer Separation Severity,,RC17109-092,
390,R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Onset of Major Separation,70,RC17109-093,
391,R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,RC17109-093,
392,R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-093,
393,R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separated Layers,4,RC17109-093,
394,R-20210611-00037,S-210611-02616,,Lumisizer - VM,Lumisizer Separation Severity,~33,RC17109-093,
395,R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BI0152,
396,R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation Severity,22.70,EXP-21-BI0152,
397,R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Onset of Major Separation,2,EXP-21-BI0152,
398,R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BI0152,
399,R-20210614-00024,S-210614-00720,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0152,
400,R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation Severity,8.48,MV-15990-148,2E+11
401,R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation Location,Bottom,MV-15990-148,2E+11
402,R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,MV-15990-148,2E+11
403,R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separation,Y,MV-15990-148,2E+11
404,R-20210614-00028,S-210614-00787,,Lumisizer - VM,Lumisizer Separated Layers,3,MV-15990-148,2E+11
405,R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-149,na
406,R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-149,na
407,R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-149,na
408,R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-149,na
409,R-20210614-00029,S-210614-00811,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-149,na
410,R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation Location,,01-2021-1036698,
411,R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation,N,01-2021-1036698,
412,R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separated Layers,1,01-2021-1036698,
413,R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Onset of Major Separation,,01-2021-1036698,
414,R-20210616-00058,S-210616-00973,,Lumisizer - VM,Lumisizer Separation Severity,,01-2021-1036698,
415,R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation Location,Top,01-2021-1036100,
416,R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation,Y,01-2021-1036100,
417,R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separated Layers,2,01-2021-1036100,
418,R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Onset of Major Separation,30,01-2021-1036100,
419,R-20210616-00059,S-210616-01005,,Lumisizer - VM,Lumisizer Separation Severity,2.20,01-2021-1036100,
420,R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle,01-2021-1036839,
421,R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separated Layers,3,01-2021-1036839,
422,R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation Severity,17.11,01-2021-1036839,
423,R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Onset of Major Separation,2,01-2021-1036839,
424,R-20210616-00060,S-210616-01037,,Lumisizer - VM,Lumisizer Separation,Y,01-2021-1036839,
425,R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation Severity,<3,01-2021-1036101,
426,R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation Location,Bottom,01-2021-1036101,
427,R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separation,Y,01-2021-1036101,
428,R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Onset of Major Separation,150,01-2021-1036101,
429,R-20210616-00062,S-210616-01070,,Lumisizer - VM,Lumisizer Separated Layers,2,01-2021-1036101,
430,R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-AY9495,
431,R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-AY9495,
432,R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AY9495,
433,R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-AY9495,
434,R-20210616-00101,S-210616-01278,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-AY9495,
435,R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separated Layers,2,SG1710668,na
436,R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation Location,Bottom,SG1710668,na
437,R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Onset of Major Separation,220,SG1710668,na
438,R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation,Y,SG1710668,na
439,R-20210621-00041,S-210621-01299,,Lumisizer - VM,Lumisizer Separation Severity,1.00,SG1710668,na
440,R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separated Layers,2,SG1710669,na
441,R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation Location,Bottom,SG1710669,na
442,R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Onset of Major Separation,135,SG1710669,na
443,R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation,Y,SG1710669,na
444,R-20210621-00042,S-210621-01345,,Lumisizer - VM,Lumisizer Separation Severity,4.00,SG1710669,na
445,R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710670,na
446,R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Onset of Major Separation,35,SG1710670,na
447,R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation Severity,14.50,SG1710670,na
448,R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710670,na
449,R-20210621-00044,S-210621-01391,,Lumisizer - VM,Lumisizer Separation,Y,SG1710670,na
450,R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-151,200000256489/000/000
451,R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-151,200000256489/000/000
452,R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-151,200000256489/000/000
453,R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-151,200000256489/000/000
454,R-20210622-00057,S-210622-01697,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-151,200000256489/000/000
455,R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation Location,,SG1710672,na
456,R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Onset of Major Separation,,SG1710672,na
457,R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation,N,SG1710672,na
458,R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separation Severity,,SG1710672,na
459,R-20210623-00039,S-210623-00595,,Lumisizer - VM,Lumisizer Separated Layers,1,SG1710672,na
460,R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation,N,SG1710671,na
461,R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation Severity,,SG1710671,na
462,R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separated Layers,1,SG1710671,na
463,R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Onset of Major Separation,,SG1710671,na
464,R-20210623-00042,S-210623-00627,,Lumisizer - VM,Lumisizer Separation Location,,SG1710671,na
465,R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-AX1855,
466,R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AX1855,
467,R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-AX1855,
468,R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-AX1855,
469,R-20210623-00057,S-210623-00811,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-AX1855,
470,R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-BI0154,
471,R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-BI0154,
472,R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-BI0154,
473,R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation Severity,39.80,EXP-21-BI0154,
474,R-20210624-00042,S-210624-00914,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-BI0154,
475,R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,RC17109-094,
476,R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation Severity,11.03,RC17109-094,
477,R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-094,
478,R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separated Layers,4,RC17109-094,
479,R-20210629-00052,S-210629-01275,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,RC17109-094,
480,R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Onset of Major Separation,,RC17109-095,
481,R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation Location,,RC17109-095,
482,R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation Severity,,RC17109-095,
483,R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separated Layers,1,RC17109-095,
484,R-20210629-00054,S-210629-01348,,Lumisizer - VM,Lumisizer Separation,N,RC17109-095,
485,R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separated Layers,1,EK15997-90,
486,R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EK15997-90,
487,R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation Severity,,EK15997-90,
488,R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation Location,,EK15997-90,
489,R-20210630-00071,S-210630-00441,,Lumisizer - VM,Lumisizer Separation,N,EK15997-90,
490,R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation Location,,EK15997-96,
491,R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separated Layers,1,EK15997-96,
