,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
57,R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Onset of Major Separation,10,F-210316-00063,na
58,R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separation Location,Top,F-210316-00063,na
59,R-20210331-00050,S-210331-00752,,Lumisizer - VM,Lumisizer Separation Severity,4.70,F-210316-00063,na
60,R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation Location,Bottom,F-210316-00056,na
61,R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Onset of Major Separation,120,F-210316-00056,na
62,R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation,Y,F-210316-00056,na
63,R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210316-00056,na
64,R-20210331-00051,S-210331-00706,,Lumisizer - VM,Lumisizer Separation Severity,9.00,F-210316-00056,na
65,R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Onset of Major Separation,60,EXP-21-BG8840,
66,R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BG8840,
67,R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation Severity,1.70,EXP-21-BG8840,
68,R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BG8840,
69,R-20210405-00003,S-210405-00131,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BG8840,
70,R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation,Y,F-210326-00022,na
71,R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Onset of Major Separation,115,F-210326-00022,na
72,R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210326-00022,na
73,R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Location,Bottom,F-210326-00022,na
74,R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Severity,4.74,F-210326-00022,na
75,R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210326-00022,na
76,R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation,Y,F-210326-00022,na
77,R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Severity,5.75,F-210326-00022,na
78,R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Onset of Major Separation,105,F-210326-00022,na
79,R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Location,Bottom,F-210326-00022,na
80,R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation,Y,F-210326-00022,na
81,R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separated Layers,3,F-210326-00022,na
82,R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Onset of Major Separation,95,F-210326-00022,na
83,R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,F-210326-00022,na
84,R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation Severity,4.99,F-210326-00022,na
85,R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation Severity,1.70,F-210309-00033,200000252922/001/000
86,R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210309-00033,200000252922/001/000
87,R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Onset of Major Separation,60,F-210309-00033,200000252922/001/000
88,R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation,Y,F-210309-00033,200000252922/001/000
89,R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation Location,Top,F-210309-00033,200000252922/001/000
90,R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1837,
91,R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Onset of Major Separation,60,EXP-21-AX1837,
92,R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation Severity,1.80,EXP-21-AX1837,
93,R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1837,
94,R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1837,
