Request,Sample,Batch,Parameter List,Parameter,Data
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210405-00010,S-210405-00369,,Lumisizer - VM,Lumisizer Separation Severity,4.74
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Severity,5.75
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Onset of Major Separation,105
R-20210405-00011,S-210405-00377,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation,Y
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Onset of Major Separation,95
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210405-00012,S-210405-00412,,Lumisizer - VM,Lumisizer Separation Severity,4.99
R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation Severity,1.70
R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Onset of Major Separation,60
R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation,Y
R-20210406-00035,S-210406-02684,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Onset of Major Separation,60
R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation Severity,1.80
R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210408-00140,S-210409-00258,,Lumisizer - VM,Lumisizer Separation,Y
R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation Location,Bottom
R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Onset of Major Separation,85
R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation,Y
R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation Severity,7.65
R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation Severity,1.40
R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation,Y
R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Onset of Major Separation,60
R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation Severity,3.20
R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation,Y
R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Onset of Major Separation,75
R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Onset of Major Separation,12
R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle
